Fecha de actualización;Coordinación Zonal;Provincia;Cantón;Estado;Características de cubierta del escenario;Longitud;Latitud;Nombre del Propietario;Nombre del Administrador;Tipo de propiedad;Hora de apertura;Hora de cierre;;Uso del escenario deportivo;Costo por uso de las instalaciones
23/08/2021 12:28;Zonal 4;Manabí;MANTA;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL MANTA;LIGA DEPORTIVA CANTONAL MANTA;Privado;8:30 a. m.;7:00 p. m.;;COMPLEJO DEPORTIVO;900
23/08/2021 12:23;Zonal 6;Azuay;CUENCA;;;-784.808.775;-0.18779;Ministerio del Deporte;Diana Caterine Luna Urgiles;Público;8:00 a. m.;6:00 p. m.;;"AREAS HUMEDAS
CANCHA DE FUTBOL
CANCHA DE RACQUETBALL
CANCHA DE USO MULTIPLE
CANCHA DE VOLEY
COMPLEJO RECREACIONAL
PISCINAS";0,5
19/08/2021 17:53;Zonal 4;Manabí;MANTA;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE MANTA;LIGA DEPORTIVA CANTONAL DE MANTA;Privado;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 17:48;Zonal 4;Manabí;MONTECRISTI;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL MONTECRISTI;LIGA DEPORTIVA CANTONAL MONTECRISTI;Privado;2:30 p. m.;6:00 p. m.;;CANCHA DE USO MULTIPLE;20
19/08/2021 17:36;Zonal 4;Manabí;MONTECRISTI;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE MONTECRISTI;LIGA DEPORTIVA CANTONAL DE MONTECRISTI;Privado;3:30 p. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 16:56;Zonal 4;Manabí;PEDERNALES;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE PEDERNALES;LIGA DEPORTIVA CANTONAL DE PEDERNALES;Privado;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 16:27;Zonal 4;Manabí;SUCRE;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE SUCRE;LIGA DEPORTIVA CANTONAL DE SUCRE;Privado;2:00 p. m.;5:00 p. m.;;"CANCHA DE USO MULTIPLE
CANCHA SINTÉTICA";0
19/08/2021 14:11;Zonal 4;Manabí;SUCRE;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE SUCRE;LIGA DEPORTIVA CANTONAL DE SUCRE;Privado;10:00 a. m.;10:00 p. m.;;CANCHA SINTÉTICA DE FUTBOL;0
19/08/2021 14:04;Zonal 4;Manabí;SUCRE;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE SUCRE;LIGA DEPORTIVA CANTONAL DE SUCRE;Privado;2:00 p. m.;6:00 p. m.;;"ESTADIO
CANCHA SINTÉTICA";40
19/08/2021 13:27;Zonal 4;Manabí;SAN VICENTE;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE SAN VICENTE;LIGA DEPORTIVA CANTONAL DE SAN VICENTE;Privado;2:00 p. m.;6:00 p. m.;;CANCHA DE USO MULTIPLE;0
